time,temperature_2m,relativehumidity_2m,precipitation,fetch_time,day,month,hour
2025-03-10 00:00:00,17.3,76,0.0,2025-04-09 10:48:12,10,3,0
2025-03-10 01:00:00,16.8,79,0.0,2025-04-09 10:48:12,10,3,1
2025-03-10 02:00:00,17.0,80,0.0,2025-04-09 10:48:12,10,3,2
2025-03-10 03:00:00,19.0,75,0.0,2025-04-09 10:48:12,10,3,3
2025-03-10 04:00:00,21.5,67,0.0,2025-04-09 10:48:12,10,3,4
2025-03-10 05:00:00,24.2,59,0.0,2025-04-09 10:48:12,10,3,5
2025-03-10 06:00:00,26.8,51,0.0,2025-04-09 10:48:12,10,3,6
2025-03-10 07:00:00,28.7,43,0.0,2025-04-09 10:48:12,10,3,7
2025-03-10 08:00:00,30.0,37,0.0,2025-04-09 10:48:12,10,3,8
2025-03-10 09:00:00,30.6,35,0.0,2025-04-09 10:48:12,10,3,9
2025-03-10 10:00:00,30.5,35,0.0,2025-04-09 10:48:12,10,3,10
2025-03-10 11:00:00,30.1,35,0.0,2025-04-09 10:48:12,10,3,11
2025-03-10 12:00:00,29.3,41,0.0,2025-04-09 10:48:12,10,3,12
2025-03-10 13:00:00,27.4,51,0.0,2025-04-09 10:48:12,10,3,13
2025-03-10 14:00:00,25.6,57,0.0,2025-04-09 10:48:12,10,3,14
2025-03-10 15:00:00,24.3,61,0.0,2025-04-09 10:48:12,10,3,15
2025-03-10 16:00:00,23.3,64,0.0,2025-04-09 10:48:12,10,3,16
2025-03-10 17:00:00,22.5,66,0.0,2025-04-09 10:48:12,10,3,17
2025-03-10 18:00:00,21.8,74,0.0,2025-04-09 10:48:12,10,3,18
2025-03-10 19:00:00,21.2,74,0.0,2025-04-09 10:48:12,10,3,19
2025-03-10 20:00:00,20.8,75,0.0,2025-04-09 10:48:12,10,3,20
2025-03-10 21:00:00,20.3,77,0.0,2025-04-09 10:48:12,10,3,21
2025-03-10 22:00:00,19.7,79,0.0,2025-04-09 10:48:12,10,3,22
2025-03-10 23:00:00,19.5,79,0.0,2025-04-09 10:48:12,10,3,23
2025-03-11 00:00:00,18.5,84,0.0,2025-04-09 10:48:12,11,3,0
2025-03-11 01:00:00,18.2,84,0.0,2025-04-09 10:48:12,11,3,1
2025-03-11 02:00:00,18.4,84,0.0,2025-04-09 10:48:12,11,3,2
2025-03-11 03:00:00,20.0,79,0.0,2025-04-09 10:48:12,11,3,3
2025-03-11 04:00:00,22.5,71,0.0,2025-04-09 10:48:12,11,3,4
2025-03-11 05:00:00,25.5,59,0.0,2025-04-09 10:48:12,11,3,5
2025-03-11 06:00:00,29.3,46,0.0,2025-04-09 10:48:12,11,3,6
2025-03-11 07:00:00,30.9,39,0.0,2025-04-09 10:48:12,11,3,7
2025-03-11 08:00:00,31.5,36,0.0,2025-04-09 10:48:12,11,3,8
2025-03-11 09:00:00,31.4,36,0.0,2025-04-09 10:48:12,11,3,9
2025-03-11 10:00:00,32.0,36,0.0,2025-04-09 10:48:12,11,3,10
2025-03-11 11:00:00,31.7,36,0.0,2025-04-09 10:48:12,11,3,11
2025-03-11 12:00:00,31.0,42,0.0,2025-04-09 10:48:12,11,3,12
2025-03-11 13:00:00,29.1,51,0.0,2025-04-09 10:48:12,11,3,13
2025-03-11 14:00:00,27.9,56,0.0,2025-04-09 10:48:12,11,3,14
2025-03-11 15:00:00,26.1,63,0.0,2025-04-09 10:48:12,11,3,15
2025-03-11 16:00:00,24.6,69,0.0,2025-04-09 10:48:12,11,3,16
2025-03-11 17:00:00,23.5,68,0.0,2025-04-09 10:48:12,11,3,17
2025-03-11 18:00:00,21.7,79,0.0,2025-04-09 10:48:12,11,3,18
2025-03-11 19:00:00,21.0,79,0.0,2025-04-09 10:48:12,11,3,19
2025-03-11 20:00:00,20.3,80,0.0,2025-04-09 10:48:12,11,3,20
2025-03-11 21:00:00,19.6,82,0.0,2025-04-09 10:48:12,11,3,21
2025-03-11 22:00:00,19.0,83,0.0,2025-04-09 10:48:12,11,3,22
2025-03-11 23:00:00,18.4,83,0.0,2025-04-09 10:48:12,11,3,23
2025-03-12 00:00:00,18.1,89,0.0,2025-04-09 10:48:12,12,3,0
2025-03-12 01:00:00,17.7,89,0.0,2025-04-09 10:48:12,12,3,1
2025-03-12 02:00:00,17.9,87,0.0,2025-04-09 10:48:12,12,3,2
2025-03-12 03:00:00,20.1,77,0.0,2025-04-09 10:48:12,12,3,3
2025-03-12 04:00:00,23.0,64,0.0,2025-04-09 10:48:12,12,3,4
2025-03-12 05:00:00,25.8,56,0.0,2025-04-09 10:48:12,12,3,5
2025-03-12 06:00:00,28.9,45,0.0,2025-04-09 10:48:12,12,3,6
2025-03-12 07:00:00,30.5,37,0.0,2025-04-09 10:48:12,12,3,7
2025-03-12 08:00:00,31.2,34,0.0,2025-04-09 10:48:12,12,3,8
2025-03-12 09:00:00,31.6,34,0.0,2025-04-09 10:48:12,12,3,9
2025-03-12 10:00:00,31.5,32,0.0,2025-04-09 10:48:12,12,3,10
2025-03-12 11:00:00,30.8,34,0.0,2025-04-09 10:48:12,12,3,11
2025-03-12 12:00:00,29.8,42,0.0,2025-04-09 10:48:12,12,3,12
2025-03-12 13:00:00,27.2,54,0.0,2025-04-09 10:48:12,12,3,13
2025-03-12 14:00:00,25.7,59,0.0,2025-04-09 10:48:12,12,3,14
2025-03-12 15:00:00,24.3,64,0.0,2025-04-09 10:48:12,12,3,15
2025-03-12 16:00:00,23.3,67,0.0,2025-04-09 10:48:12,12,3,16
2025-03-12 17:00:00,22.7,70,0.0,2025-04-09 10:48:12,12,3,17
2025-03-12 18:00:00,22.2,74,0.0,2025-04-09 10:48:12,12,3,18
2025-03-12 19:00:00,21.6,75,0.0,2025-04-09 10:48:12,12,3,19
2025-03-12 20:00:00,21.0,77,0.0,2025-04-09 10:48:12,12,3,20
2025-03-12 21:00:00,20.4,79,0.0,2025-04-09 10:48:12,12,3,21
2025-03-12 22:00:00,19.9,80,0.0,2025-04-09 10:48:12,12,3,22
2025-03-12 23:00:00,19.6,81,0.0,2025-04-09 10:48:12,12,3,23
2025-03-13 00:00:00,19.9,83,0.0,2025-04-09 10:48:12,13,3,0
2025-03-13 01:00:00,19.5,84,0.0,2025-04-09 10:48:12,13,3,1
2025-03-13 02:00:00,19.5,85,0.0,2025-04-09 10:48:12,13,3,2
2025-03-13 03:00:00,21.4,78,0.0,2025-04-09 10:48:12,13,3,3
2025-03-13 04:00:00,23.9,67,0.0,2025-04-09 10:48:12,13,3,4
2025-03-13 05:00:00,26.4,58,0.0,2025-04-09 10:48:12,13,3,5
2025-03-13 06:00:00,28.6,52,0.0,2025-04-09 10:48:12,13,3,6
2025-03-13 07:00:00,29.9,46,0.0,2025-04-09 10:48:12,13,3,7
2025-03-13 08:00:00,30.8,42,0.0,2025-04-09 10:48:12,13,3,8
2025-03-13 09:00:00,31.2,39,0.0,2025-04-09 10:48:12,13,3,9
2025-03-13 10:00:00,30.9,38,0.0,2025-04-09 10:48:12,13,3,10
2025-03-13 11:00:00,23.5,75,1.2,2025-04-09 10:48:12,13,3,11
2025-03-13 12:00:00,30.7,40,0.0,2025-04-09 10:48:12,13,3,12
2025-03-13 13:00:00,28.5,49,0.0,2025-04-09 10:48:12,13,3,13
2025-03-13 14:00:00,27.1,56,0.0,2025-04-09 10:48:12,13,3,14
2025-03-13 15:00:00,23.5,73,0.9,2025-04-09 10:48:12,13,3,15
2025-03-13 16:00:00,23.5,73,0.0,2025-04-09 10:48:12,13,3,16
2025-03-13 17:00:00,23.5,72,0.0,2025-04-09 10:48:12,13,3,17
2025-03-13 18:00:00,24.1,68,0.0,2025-04-09 10:48:12,13,3,18
2025-03-13 19:00:00,23.3,70,0.0,2025-04-09 10:48:12,13,3,19
2025-03-13 20:00:00,22.6,68,0.0,2025-04-09 10:48:12,13,3,20
2025-03-13 21:00:00,22.1,63,0.0,2025-04-09 10:48:12,13,3,21
2025-03-13 22:00:00,21.7,63,0.0,2025-04-09 10:48:12,13,3,22
2025-03-13 23:00:00,21.1,65,0.0,2025-04-09 10:48:12,13,3,23
2025-03-14 00:00:00,20.4,75,0.0,2025-04-09 10:48:12,14,3,0
2025-03-14 01:00:00,20.2,74,0.0,2025-04-09 10:48:12,14,3,1
2025-03-14 02:00:00,20.2,74,0.0,2025-04-09 10:48:12,14,3,2
2025-03-14 03:00:00,21.8,68,0.0,2025-04-09 10:48:12,14,3,3
2025-03-14 04:00:00,24.8,58,0.0,2025-04-09 10:48:12,14,3,4
2025-03-14 05:00:00,27.8,48,0.0,2025-04-09 10:48:12,14,3,5
2025-03-14 06:00:00,31.0,39,0.0,2025-04-09 10:48:12,14,3,6
2025-03-14 07:00:00,32.5,35,0.0,2025-04-09 10:48:12,14,3,7
2025-03-14 08:00:00,33.6,24,0.0,2025-04-09 10:48:12,14,3,8
2025-03-14 09:00:00,33.4,22,0.0,2025-04-09 10:48:12,14,3,9
2025-03-14 10:00:00,33.2,23,0.0,2025-04-09 10:48:12,14,3,10
2025-03-14 11:00:00,32.1,24,0.0,2025-04-09 10:48:12,14,3,11
2025-03-14 12:00:00,30.9,36,0.0,2025-04-09 10:48:12,14,3,12
2025-03-14 13:00:00,29.1,43,0.0,2025-04-09 10:48:12,14,3,13
2025-03-14 14:00:00,26.7,53,0.1,2025-04-09 10:48:12,14,3,14
2025-03-14 15:00:00,25.3,59,0.1,2025-04-09 10:48:12,14,3,15
2025-03-14 16:00:00,25.1,58,0.0,2025-04-09 10:48:12,14,3,16
2025-03-14 17:00:00,23.2,65,0.1,2025-04-09 10:48:12,14,3,17
2025-03-14 18:00:00,22.7,66,0.1,2025-04-09 10:48:12,14,3,18
2025-03-14 19:00:00,21.8,69,0.0,2025-04-09 10:48:12,14,3,19
2025-03-14 20:00:00,21.2,70,0.2,2025-04-09 10:48:12,14,3,20
2025-03-14 21:00:00,20.5,72,0.0,2025-04-09 10:48:12,14,3,21
2025-03-14 22:00:00,19.4,79,1.1,2025-04-09 10:48:12,14,3,22
2025-03-14 23:00:00,19.3,77,0.5,2025-04-09 10:48:12,14,3,23
2025-03-15 00:00:00,19.2,67,0.9,2025-04-09 10:48:12,15,3,0
2025-03-15 01:00:00,18.9,67,0.0,2025-04-09 10:48:12,15,3,1
2025-03-15 02:00:00,19.2,64,0.0,2025-04-09 10:48:12,15,3,2
2025-03-15 03:00:00,20.5,61,0.0,2025-04-09 10:48:12,15,3,3
2025-03-15 04:00:00,22.7,56,0.0,2025-04-09 10:48:12,15,3,4
2025-03-15 05:00:00,24.9,49,0.0,2025-04-09 10:48:12,15,3,5
2025-03-15 06:00:00,27.6,44,0.0,2025-04-09 10:48:12,15,3,6
2025-03-15 07:00:00,29.3,39,0.0,2025-04-09 10:48:12,15,3,7
2025-03-15 08:00:00,30.8,35,0.0,2025-04-09 10:48:12,15,3,8
2025-03-15 09:00:00,31.4,32,0.0,2025-04-09 10:48:12,15,3,9
2025-03-15 10:00:00,31.5,32,0.0,2025-04-09 10:48:12,15,3,10
2025-03-15 11:00:00,31.6,30,0.0,2025-04-09 10:48:12,15,3,11
2025-03-15 12:00:00,30.0,40,0.0,2025-04-09 10:48:12,15,3,12
2025-03-15 13:00:00,28.5,49,0.0,2025-04-09 10:48:12,15,3,13
2025-03-15 14:00:00,25.8,60,0.0,2025-04-09 10:48:12,15,3,14
